epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.88611,1.94096,7.38738,1.95983,0.01567,0.55556,0.01549,0.00954,1.30927,4.70137,1.73339,7.272e-05,7.272e-05,7.272e-05
2,14.6749,1.6775,3.30181,1.71968,0.58949,0.55556,0.63621,0.33919,1.46051,4.09008,1.58787,0.00015147,0.00015147,0.00015147
3,21.3083,1.49668,1.88491,1.4929,0.58017,0.72668,0.76421,0.49303,1.30279,2.77563,1.40402,0.000226981,0.000226981,0.000226981
4,27.9009,1.39887,1.54949,1.44007,0.79655,0.74534,0.829,0.53167,1.24013,2.47072,1.42779,0.000299252,0.000299252,0.000299252
5,34.4721,1.36943,1.26211,1.37843,0.89371,0.6371,0.84621,0.60653,1.42576,1.96153,1.67081,0.000368283,0.000368283,0.000368283
6,41.0426,1.31078,1.07238,1.3331,0.61985,0.69444,0.70415,0.46067,1.81259,2.46174,2.07072,0.000434075,0.000434075,0.000434075
7,47.541,1.29637,0.99344,1.31645,0.8777,0.4771,0.57426,0.39851,1.6509,2.23779,1.76979,0.000496627,0.000496627,0.000496627
8,54.0554,1.24729,0.98023,1.28976,0.51078,0.54219,0.59303,0.25319,1.9016,2.27808,2.16927,0.000555939,0.000555939,0.000555939
9,60.5579,1.23561,0.89189,1.26794,0.85462,0.58333,0.65967,0.38178,1.37802,2.52687,1.62666,0.000612012,0.000612012,0.000612012
10,67.0867,1.21058,0.82959,1.28103,0.66804,0.58333,0.61891,0.35462,1.77965,2.35882,1.93039,0.000664844,0.000664844,0.000664844
11,73.6173,1.16373,0.80096,1.23777,0.61167,0.57223,0.37204,0.26428,1.69394,4.11589,2.09943,0.000714438,0.000714438,0.000714438
12,80.1616,1.23823,0.86027,1.29454,0.88323,0.60425,0.67535,0.41295,1.89184,2.14106,2.18221,0.00071102,0.00071102,0.00071102
13,86.7087,1.20868,0.81189,1.26348,0.67061,0.41667,0.38008,0.19715,2.38458,3.13401,2.49794,0.000693022,0.000693022,0.000693022
14,93.2612,1.14973,0.76526,1.23292,0.99277,0.33333,0.39585,0.24611,1.63369,4.03557,1.96825,0.000675023,0.000675023,0.000675023
15,99.8018,1.13221,0.71927,1.21636,0.94628,0.62901,0.73628,0.50124,1.31948,2.36795,1.51582,0.000657025,0.000657025,0.000657025
16,106.36,1.06919,0.70245,1.19583,0.82248,0.71975,0.7985,0.57744,1.25602,2.48815,1.45819,0.000639027,0.000639027,0.000639027
17,112.961,1.06501,0.68504,1.18008,0.6904,0.65005,0.79138,0.5349,1.26402,1.86787,1.4743,0.000621029,0.000621029,0.000621029
18,119.516,1.06962,0.65955,1.19135,0.85794,0.8388,0.9154,0.59113,1.48607,1.24546,1.77954,0.000603031,0.000603031,0.000603031
19,126.069,1.06548,0.66683,1.19718,0.82947,0.66667,0.78291,0.60193,1.16665,2.19387,1.51122,0.000585032,0.000585032,0.000585032
20,132.667,1.03904,0.63718,1.17375,0.95423,0.66667,0.96357,0.67714,1.26695,1.67963,1.45831,0.000567034,0.000567034,0.000567034
21,139.318,1.02093,0.623,1.15064,0.90467,0.6211,0.76372,0.59212,1.0708,1.97464,1.41302,0.000549036,0.000549036,0.000549036
22,145.924,1.01412,0.62872,1.15867,0.90981,0.58333,0.6668,0.53478,1.20535,2.79319,1.42642,0.000531038,0.000531038,0.000531038
23,152.512,0.96092,0.56588,1.11636,0.90026,0.58333,0.71191,0.5594,1.26674,2.12216,1.62516,0.00051304,0.00051304,0.00051304
24,159.117,0.97888,0.56813,1.14535,0.86564,0.69736,0.78944,0.57026,1.24959,2.02361,1.55658,0.000495041,0.000495041,0.000495041
25,165.691,0.93404,0.56323,1.13511,0.94344,0.66667,0.83722,0.6179,1.13577,2.59308,1.44455,0.000477043,0.000477043,0.000477043
26,172.249,0.94875,0.55123,1.10992,0.98297,0.66667,0.84055,0.6115,1.08134,2.55574,1.35742,0.000459045,0.000459045,0.000459045
27,178.82,0.92772,0.52942,1.10608,0.98413,0.66667,0.821,0.70687,0.91717,2.53417,1.27161,0.000441047,0.000441047,0.000441047
28,185.447,0.87482,0.49385,1.08053,0.76321,0.736,0.86375,0.72629,0.98647,2.04073,1.32365,0.000423049,0.000423049,0.000423049
29,192.132,0.87758,0.49218,1.08452,0.88174,0.66667,0.89208,0.62423,1.15073,2.28842,1.43733,0.00040505,0.00040505,0.00040505
30,198.681,0.86667,0.49515,1.08905,0.86444,0.66667,0.86322,0.68001,1.16675,2.23496,1.53149,0.000387052,0.000387052,0.000387052
31,205.248,0.84468,0.46275,1.07351,0.94188,0.66667,0.77411,0.58309,1.17061,2.90118,1.5243,0.000369054,0.000369054,0.000369054
32,211.803,0.81855,0.44849,1.05551,0.94707,0.66667,0.83011,0.649,1.10345,2.21792,1.54958,0.000351056,0.000351056,0.000351056
33,218.375,0.83046,0.45599,1.05146,0.7927,0.72739,0.89738,0.62375,1.34923,1.94134,1.78297,0.000333058,0.000333058,0.000333058
34,224.954,0.79417,0.43912,1.0439,0.80948,0.76165,0.9208,0.69559,1.17282,1.68957,1.55634,0.000315059,0.000315059,0.000315059
35,231.542,0.7935,0.45429,1.04709,0.87958,0.79787,0.89093,0.70173,1.12235,1.18353,1.43211,0.000297061,0.000297061,0.000297061
36,238.134,0.77591,0.42492,1.03436,0.89966,0.74677,0.90397,0.68346,1.1441,1.3269,1.55892,0.000279063,0.000279063,0.000279063
37,244.738,0.80073,0.42873,1.04268,0.80878,0.77916,0.89169,0.66609,1.09897,1.52432,1.44708,0.000261065,0.000261065,0.000261065
38,251.342,0.73084,0.40145,1.00655,0.76058,0.80556,0.88314,0.70323,1.0069,1.80835,1.37613,0.000243067,0.000243067,0.000243067
39,257.945,0.74144,0.39736,1.01753,0.75335,0.76653,0.83446,0.69246,0.93073,1.90558,1.33494,0.000225068,0.000225068,0.000225068
40,264.519,0.74822,0.40086,1.02123,0.69564,0.76556,0.85486,0.7185,0.95704,1.8893,1.35601,0.00020707,0.00020707,0.00020707
41,273.491,0.66492,0.34631,1.00252,0.76021,0.79853,0.91144,0.69531,1.03207,1.61868,1.40448,0.000189072,0.000189072,0.000189072
42,280.186,0.65458,0.33563,0.99009,0.78522,0.77778,0.90685,0.73025,1.08702,1.71853,1.4122,0.000171074,0.000171074,0.000171074
43,286.769,0.62732,0.31174,0.96222,0.68004,0.79785,0.88359,0.74385,0.90517,1.64133,1.27129,0.000153076,0.000153076,0.000153076
44,293.394,0.63017,0.315,0.96764,0.62963,0.88889,0.92561,0.77294,0.89318,1.75924,1.34129,0.000135077,0.000135077,0.000135077
45,300.013,0.6204,0.30578,0.96644,0.75928,0.75,0.90444,0.71921,1.0209,1.89759,1.37941,0.000117079,0.000117079,0.000117079
