epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.42,1.74837,4.93426,1.66361,0.52762,0.5683,0.52831,0.30398,1.40787,2.42773,1.29039,0.00024543,0.00024543,0.00024543
2,41.4862,1.4486,1.52526,1.37677,0.64673,0.51848,0.59702,0.3518,1.39165,1.40312,1.30425,0.000490051,0.000490051,0.000490051
3,61.5715,1.43983,1.25784,1.37159,0.45962,0.38944,0.37128,0.22096,1.43011,2.12858,1.33946,0.000724593,0.000724593,0.000724593
4,81.7025,1.4248,1.19889,1.35005,0.59474,0.43692,0.4689,0.26165,1.64782,1.87896,1.57553,0.000855005,0.000855005,0.000855005
5,101.934,1.38131,1.07362,1.32747,0.48535,0.38616,0.33763,0.20696,1.52258,2.36338,1.52017,0.000837007,0.000837007,0.000837007
6,121.986,1.34889,1.06065,1.32699,0.56423,0.5901,0.5494,0.35137,1.23895,1.81346,1.24348,0.000819009,0.000819009,0.000819009
7,142,1.3304,0.9874,1.30263,0.68044,0.72745,0.70257,0.47068,1.17245,1.10279,1.17603,0.000801011,0.000801011,0.000801011
8,162.106,1.25443,0.87861,1.26556,0.76708,0.64615,0.76365,0.53295,1.05251,1.01477,1.13915,0.000783013,0.000783013,0.000783013
9,182.292,1.26154,0.86159,1.26893,0.61007,0.69206,0.67225,0.49996,1.05774,1.23049,1.11729,0.000765014,0.000765014,0.000765014
10,202.417,1.22758,0.84594,1.25272,0.69073,0.68695,0.75609,0.53811,0.98771,1.02402,1.08291,0.000747016,0.000747016,0.000747016
11,222.639,1.20573,0.79016,1.23191,0.74495,0.763,0.77811,0.5654,1.01217,0.94345,1.09148,0.000729018,0.000729018,0.000729018
12,242.773,1.16771,0.74519,1.20101,0.79329,0.79164,0.81615,0.59708,0.99625,0.90676,1.08021,0.00071102,0.00071102,0.00071102
13,262.906,1.19009,0.7567,1.21736,0.72222,0.69682,0.68921,0.47451,1.06121,1.23269,1.13301,0.000693022,0.000693022,0.000693022
14,282.954,1.15619,0.71515,1.2073,0.72117,0.79093,0.80001,0.59999,0.97012,0.88499,1.10772,0.000675023,0.000675023,0.000675023
15,303.173,1.13737,0.72313,1.19636,0.68467,0.82766,0.77366,0.57384,0.97523,1.11186,1.08598,0.000657025,0.000657025,0.000657025
16,323.239,1.13822,0.69626,1.18846,0.79355,0.75611,0.80231,0.60567,0.9677,0.84095,1.05999,0.000639027,0.000639027,0.000639027
17,343.382,1.11348,0.69275,1.19051,0.85696,0.79822,0.84387,0.63882,0.93626,0.78235,1.04431,0.000621029,0.000621029,0.000621029
18,363.523,1.09979,0.64898,1.16792,0.81605,0.7532,0.81966,0.61032,0.95212,0.79486,1.04259,0.000603031,0.000603031,0.000603031
19,383.58,1.06513,0.62603,1.14742,0.81,0.81034,0.82066,0.61967,0.96908,0.83279,1.08056,0.000585032,0.000585032,0.000585032
20,403.619,1.0738,0.6172,1.15492,0.87131,0.74228,0.81947,0.6258,0.9164,0.79129,1.05901,0.000567034,0.000567034,0.000567034
21,423.696,1.05838,0.59531,1.14769,0.78068,0.76795,0.7947,0.6118,0.93559,0.85496,1.06815,0.000549036,0.000549036,0.000549036
22,443.77,1.04654,0.58796,1.14219,0.87533,0.82135,0.82958,0.61897,0.90016,0.76839,1.04324,0.000531038,0.000531038,0.000531038
23,463.829,1.03981,0.5826,1.13597,0.81002,0.82192,0.83853,0.62661,0.905,0.79375,1.04696,0.00051304,0.00051304,0.00051304
24,483.872,1.03147,0.57399,1.14032,0.75782,0.77199,0.80666,0.60736,0.92149,0.89389,1.04819,0.000495041,0.000495041,0.000495041
25,503.905,1.01676,0.55452,1.12746,0.86358,0.78325,0.86701,0.66968,0.8928,0.70371,1.04208,0.000477043,0.000477043,0.000477043
26,524.082,0.99858,0.5387,1.12175,0.79844,0.80517,0.84639,0.64699,0.89611,0.806,1.04152,0.000459045,0.000459045,0.000459045
27,544.146,0.98797,0.53186,1.10524,0.89509,0.76172,0.82581,0.63028,0.90932,0.80789,1.05402,0.000441047,0.000441047,0.000441047
28,564.195,0.96874,0.51309,1.10129,0.92235,0.81379,0.87261,0.68217,0.87347,0.67522,1.02501,0.000423049,0.000423049,0.000423049
29,584.374,0.96129,0.50446,1.09588,0.89494,0.80566,0.8714,0.66389,0.89572,0.6467,1.03396,0.00040505,0.00040505,0.00040505
30,604.44,0.94172,0.51331,1.09135,0.85674,0.81975,0.85866,0.67329,0.89259,0.74128,1.04002,0.000387052,0.000387052,0.000387052
31,624.472,0.91992,0.48625,1.07336,0.85167,0.81189,0.85885,0.66046,0.88556,0.75174,1.04219,0.000369054,0.000369054,0.000369054
32,644.543,0.91496,0.4855,1.06491,0.84593,0.8185,0.8629,0.66412,0.88521,0.80152,1.0457,0.000351056,0.000351056,0.000351056
33,664.615,0.9101,0.48063,1.07388,0.82019,0.84053,0.85116,0.66067,0.88544,0.81469,1.05092,0.000333058,0.000333058,0.000333058
34,684.703,0.88945,0.46693,1.0616,0.8708,0.82829,0.86737,0.68153,0.85689,0.70109,1.01468,0.000315059,0.000315059,0.000315059
35,704.83,0.89123,0.46905,1.05698,0.90268,0.84847,0.87234,0.69144,0.86287,0.71619,1.02398,0.000297061,0.000297061,0.000297061
36,724.946,0.86581,0.44868,1.05134,0.8809,0.81862,0.85688,0.67633,0.85441,0.74427,1.03061,0.000279063,0.000279063,0.000279063
37,744.965,0.84837,0.44585,1.03261,0.89338,0.82695,0.86169,0.67853,0.85974,0.70763,1.01895,0.000261065,0.000261065,0.000261065
38,765.022,0.85236,0.44154,1.03879,0.88804,0.81046,0.86162,0.68311,0.86584,0.74405,1.02704,0.000243067,0.000243067,0.000243067
39,785.117,0.8238,0.42435,1.02345,0.8808,0.83884,0.85353,0.68329,0.86054,0.76621,1.02346,0.000225068,0.000225068,0.000225068
40,805.198,0.81543,0.42208,1.02993,0.8991,0.83247,0.86093,0.67969,0.85373,0.68479,1.03157,0.00020707,0.00020707,0.00020707
41,826.639,0.77798,0.36383,1.02225,0.87432,0.82999,0.86209,0.68323,0.85375,0.71312,1.02333,0.000189072,0.000189072,0.000189072
42,846.699,0.74646,0.34349,0.99659,0.86658,0.81941,0.85528,0.67534,0.86043,0.71599,1.02638,0.000171074,0.000171074,0.000171074
43,866.575,0.73129,0.33456,0.98944,0.87864,0.82635,0.85663,0.6837,0.85005,0.73273,1.02452,0.000153076,0.000153076,0.000153076
44,886.489,0.71506,0.33161,0.97666,0.85695,0.82888,0.85089,0.67732,0.84291,0.75935,1.01782,0.000135077,0.000135077,0.000135077
45,906.387,0.7012,0.31434,0.98028,0.84553,0.826,0.84985,0.68307,0.84968,0.76419,1.02888,0.000117079,0.000117079,0.000117079
46,926.328,0.6924,0.31297,0.97138,0.86939,0.83851,0.85612,0.68283,0.83615,0.75865,1.02461,9.9081e-05,9.9081e-05,9.9081e-05
47,946.246,0.67186,0.30332,0.96073,0.8433,0.83791,0.85601,0.69178,0.83199,0.7407,1.02365,8.10828e-05,8.10828e-05,8.10828e-05
48,966.114,0.66308,0.29954,0.96306,0.87213,0.8205,0.85773,0.68613,0.84176,0.73247,1.03877,6.30846e-05,6.30846e-05,6.30846e-05
49,985.978,0.64632,0.29536,0.95036,0.85045,0.83574,0.85327,0.68496,0.83862,0.73677,1.02986,4.50864e-05,4.50864e-05,4.50864e-05
50,1005.89,0.63453,0.28847,0.94236,0.87684,0.82405,0.85448,0.68588,0.83579,0.7411,1.03054,2.70882e-05,2.70882e-05,2.70882e-05
